"CONVOCATORIA","SEMESTRE DE CONVOCATORIA","BENEFICIO OTORGADO","DEPARTAMENTO DE NACIMIENTO","MUNICIPIO DE NACIMIENTO","FECHA DE NACIMIENTO","GÉNERO","SUBREGIÓN DE RESIDENCIA","MUNICIPIO DE RESIDENCIA","ESTRATO","GRUPO ETNICO","VICTIMA DEL CONFLICTO ARMADO","UNIVERSIDAD","PROGRAMA CURSADO","MUNICIPIO OFERTA","TIPO DE FORMACIÓN","GRADUADO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","FRONTINO","1997 Jun 23 12:00:00 AM","FEMENINO","ORIENTE","MARINILLA","ESTRATO 1","NINGUNO","NO","COREDI","TECNICA PROFESIONAL EN PROCESOS RURALES EMPRESARIALES","MARINILLA","TECNICA PROFESIONAL","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SONSON","1998 Apr 13 12:00:00 AM","FEMENINO","ORIENTE","SONSON","ESTRATO 1","NINGUNO","NO","COREDI","TECNOLOGIA EN PRODUCCION AGROECOLOGICA","MARINILLA","TECNOLOGICA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","PEQUE","1999 Jan 12 12:00:00 AM","FEMENINO","OCCIDENTE","PEQUE","ESTRATO 2","NINGUNO","SI","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","COMUNICACION SOCIAL","SANTA ROSA DE OSOS","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","VALDIVIA","1994 Dec 15 12:00:00 AM","FEMENINO","NORTE","SANTA ROSA DE OSOS","ESTRATO 2","NINGUNO","NO","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","COMUNICACION SOCIAL","SANTA ROSA DE OSOS","UNIVERSITARIA","NO"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","YARUMAL","1999 Jul 30 12:00:00 AM","MASCULINO","NORTE","YARUMAL","ESTRATO 2","NINGUNO","NO","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE","INGENIERIA INFORMATICA","SANTA ROSA DE OSOS","UNIVERSITARIA","NO"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","VALPARAISO","1993 Mar 28 12:00:00 AM","MASCULINO","SUROESTE","TAMESIS","ESTRATO 1","INDIGENA","SI","TECNOLOGICO DE ANTIOQUIA","LICENCIATURA EN EDUCACION PREESCOLAR","LA PINTADA","UNIVERSITARIA","SI"
"2,015","2","MATRICULA","VALLE DEL CAUCA","CALI","1992 Jun 20 12:00:00 AM","MASCULINO","ORIENTE","SAN RAFAEL","ESTRATO 2","NINGUNO","NO","UNIVERSIDAD CATOLICA DE ORIENTE","LIC. EN LENGUAS EXTRANJERAS","RIONEGRO","UNIVERSITARIA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","SEGOVIA","1990 Oct 13 12:00:00 AM","MASCULINO","NORDESTE","YOLOMBO","ESTRATO 2","NINGUNO","SI","INSTITUCION UNIVERSITARIA PASCUAL BRAVO","TECNOLOGIA EN SISTEMAS MECATRONICOS","YOLOMBO","TECNOLOGICA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","SANTANDER","BUCARAMANGA","1994 Aug 09 12:00:00 AM","FEMENINO","ORIENTE","RIONEGRO","ESTRATO 3","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN GESTION INDUSTRIAL","RIONEGRO","TECNOLOGICA","SI"
"2,015","2","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","APARTADO","1997 Apr 23 12:00:00 AM","FEMENINO","URABA","CHIGORODO","ESTRATO 1","NINGUNO","NO","POLITECNICO COLOMBIANO JAIME ISAZA CADAVID","TECNOLOGIA EN SISTEMAS DE INFORMACION","APARTADO","TECNOLOGICA","SI"
"2,016","1","MATRICULA Y SOSTENIMIENTO","ANTIOQUIA","ANDES","1995 Oct 30 12:00:00 AM","MASCULINO","SUROESTE","ANDES","ESTRATO 1","NINGUNO","NO","UNIVERSIDAD DE ANTIOQUIA","COMUNICACION SOCIAL Y PERIODISMO","ANDES","UNIVERSITARIA","NO"
